#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , Dans På Bordet,"Ballinciaga,David Mokel",73,"norwegian pop,",Pop,Dans På Bordet,2022-02-09,2:23,87,70,15,1,81,6,17,-3 db,125,G#/A♭ Minor,1A,4,2022-04-24,56kyGGwLIVAR30ZFiASn8Q
2 , Beklager (Guttaklubben),"Ballinciaga,Kris Winther",68,"norwegian pop, norwegian pop rap, russelater","Pop, Dance/Electronic",Beklager (Guttaklubben),2022-04-01,2:30,85,95,6,3,63,15,30,-6 db,128,C♯/D♭ Major,3B,4,2022-04-24,2kPukYbkTVuvaNn4HhIPBW
3 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-24,4LRPiXqCikLlN15c3yImP7
4 , Bonanza (feat. Greekazo),"Roc Boyz,Greekazo",69,"norwegian pop rap, russelater, swedish gangsta rap, swedish hip hop, swedish trap pop","Pop, Dance/Electronic, Hip Hop",Bonanza,2022-03-25,2:18,81,74,6,0,74,10,7,-4 db,128,E Minor,9A,4,2022-04-24,70KdADbxWK0MAVXj0YvWDi
5 , glorie,vinni,69,"norwegian hip hop, norwegian pop, norwegian pop rap","Hip Hop, Pop",glorie,2021-11-12,2:36,66,56,8,0,36,7,21,-6 db,77,G Minor,6A,4,2022-04-24,4olmG0sFJ6L0LVI8ssiZFz
6 , TANTE,"Kevin Lauren,Ballinciaga",69,"norwegian pop rap, norwegian pop",Pop,TANTE,2022-03-04,2:13,78,84,5,0,68,17,24,-6 db,140,E Minor,9A,4,2022-04-24,56oWBEoaWwiyaPLe0PqB0k
7 , PAF.no,Karpe,68,"norwegian hip hop, norwegian pop, norwegian pop rap","Hip Hop, Pop",Omar Sheriff,2022-01-28,3:46,83,42,82,0,70,6,16,-9 db,98,G#/A♭ Major,4B,4,2022-04-24,2coLAzVouJE4BC8lrKbDLk
8 , Loud Luxury 2022,"Ballinciaga,Kevin Lauren",66,"norwegian pop, norwegian pop rap",Pop,Loud Luxury 2022,2021-10-07,2:02,85,66,5,1,67,9,13,-4 db,120,G#/A♭ Minor,1A,4,2022-04-24,3IVkcYvMiqvRKa4ip0E7a8
9 , First Class,Jack Harlow,94,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-24,1rDQ4oMwGJI7B4tovsBOxc
10 , 31 Etasje,Capow x 2G,64,,,31 Etasje,2022-03-25,2:37,75,66,14,0,47,14,15,-8 db,98,C Minor,5A,4,2022-04-24,1g6pAG1re0AKUO26JJpZJ8
11 , Flowers,Lauren Spencer-Smith,79,"alt z, gen z singer-songwriter, pop",Pop,Flowers,2022-04-14,2:37,68,45,87,0,34,61,9,-10 db,66,D#/E♭ Major,5B,4,2022-04-24,6Z165JvPnS8PYvGW8oLGLc
